nom;prix_intervalle;rating;nb_notes;adresse;ville;main_category;commune;code_postal;arrondissement;zone_paris;INSEE_FROM_CP;INSEE_COM;NOM;POP;Population_3_20;C20_FAM;C20_FAMMONO;QL3_20;QLFMONO;RDISP_MED;tx_BAC;tx_O;tx_Chom;FDep;APL;
DAME;47.5;5.0;455;38 Rue Condorcet;Paris, Ile-de-France, France;restaurant francais;Paris;75009;9.0;centre;75109;75109;Paris 9e Arrondissement;60168.0;9785.83369966075;14608.6262698335;2112.99452561135;0.709553245832839;0.743227767047381;35630;0.85008578734145;0.030019388169036;0.076818168211707;3.21525560165214;5.741;
Ducasse sur Seine;145.0;5.0;2663;19 Port Debilly;Paris, Ile-de-France, France;restaurant francais;Paris;75016;16.0;peripherie;75116;75116;Paris 16e Arrondissement;162820.0;32366.3837401309;40763.4493727417;6492.4010657931;0.867239727109331;0.818403253535766;40140;0.824474795160243;0.025874171304588;0.069093386917932;3.84720191018132;3.657;
Bistrotters;45.0;5.0;5327;9 Rue Decres;Paris, Ile-de-France, France;restaurant;Paris;75014;14.0;intermediaire;75114;75114;Paris 14e Arrondissement;133967.0;22244.8424291788;30318.9850075247;6009.22091911199;0.724409667253306;1.01844233884749;28730;0.782915953622741;0.030631479354502;0.07956018221338;1.94411586474717;4.301;
Chantoiseau;49.5;5.0;1291;63 Rue Lepic;Paris, Ile-de-France, France;restaurant francais;Paris;75018;18.0;peripherie;75118;75118;Paris 18e Arrondissement;191135.0;30805.0161302009;43425.8288875106;9783.97545467691;0.703127291700882;1.15771103039105;23930;0.715037004573533;0.059916595322748;0.092040756232497;0.490370335625503;4.506;
Mallory Gabsi;100.0;5.0;2341;28 Rue des Acacias;Paris, Ile-de-France, France;restaurant;Paris;75017;17.0;peripherie;75117;75117;Paris 17e Arrondissement;166336.0;29098.9451366555;39612.093970877;7180.83231865524;0.763209430182993;0.931493692158404;32290;0.788740297106962;0.037959664106942;0.083282988555933;2.29737361025854;4.876;
Tigermilk Sentier - Paris 2;25.0;5.0;8475;77 Rue dAboukir;Paris, Ile-de-France, France;restaurant;Paris;75002;2.0;centre;75102;75102;Paris 2e Arrondissement;21130.0;3000.31881558287;4924.89480734583;659.024051475884;0.619470520834343;0.687602171366908;32380;0.840393667932997;0.036713077447815;0.081152251209948;2.60730658520125;6.091;
Kozy Bosquet;15.0;5.0;12406;79 Av. Bosquet;Paris, Ile-de-France, France;cafe;Paris;75007;7.0;centre;75107;75107;Paris 7e Arrondissement;48520.0;8118.98517883259;11547.3973563606;1512.59421664728;0.730018207474047;0.673087086427869;44110;0.855623356214713;0.022072883224414;0.061382880841802;4.68011779355016;5.554;
La Felicita;15.0;5.0;36220;5 Parv. Alan Turing;Paris, Ile-de-France, France;pizzeria;Paris;75013;13.0;intermediaire;75113;75113;Paris 13e Arrondissement;177833.0;31293.0765255113;42124.7879193933;9585.27451431624;0.76769487760366;1.16922949207519;25100;0.711342220513138;0.047742325263558;0.094182696802569;0.709941501291032;4.338;
Stellar by Ephemera;30.0;5.0;20157;45 Rue Saint-Sebastien;Paris, Ile-de-France, France;restaurant;Paris;75011;11.0;intermediaire;75111;75111;Paris 11e Arrondissement;144292.0;20400.7246421751;33053.4147599171;5981.67164727312;0.616816633299328;0.929906256574518;29100;0.784700328660087;0.035876115755649;0.08903590112955;1.78857188186815;5.078;
Peppe Pizzeria Martyrs;25.0;5.0;13389;61 R. des Martyrs;Paris, Ile-de-France, France;pizzeria;Paris;75009;9.0;centre;75109;75109;Paris 9e Arrondissement;60168.0;9785.83369966075;14608.6262698335;2112.99452561135;0.709553245832839;0.743227767047381;35630;0.85008578734145;0.030019388169036;0.076818168211707;3.21525560165214;5.741;
